stock_code,trade_date,close,volume,turnover_rate,market_value,pe_ttm,pb,roe
000831,2025-07-09,34.94,22955065,0.02163,37100279412.72,313.894556,7.708945,-0.057238
000831,2025-07-10,37.009,92178111,0.08686,39297006483.21,313.894556,7.708945,-0.057238
000831,2025-07-11,40.707,144333256,0.13601,43223523469.11,313.894556,7.708945,-0.057238
000831,2025-07-14,39.068,128856461,0.12142,41483121345.63,313.894556,7.708945,-0.057238
000831,2025-07-15,37.749,78208118,0.0737,40082309880.39,313.894556,7.708945,-0.057238
000831,2025-07-16,37.819,48904960,0.04608,40156595336.88,313.894556,7.708945,-0.057238
000831,2025-07-17,37.959,45946338,0.0433,40305166249.86,313.894556,7.708945,-0.057238
000831,2025-07-18,40.077,115701819,0.10903,42554954360.7,313.894556,7.708945,-0.057238
000831,2025-07-21,41.017,105367597,0.09929,43552501919.28,313.894556,7.708945,-0.057238
000831,2025-07-22,40.447,77209937,0.07276,42947606059.29,313.894556,7.708945,-0.057238
000831,2025-07-23,40.107,65219555,0.06146,42586790984.91,313.894556,7.708945,-0.057238
000831,2025-07-24,42.566,134442915,0.12669,45197394170.13,313.894556,7.708945,-0.057238
000831,2025-07-25,45.564,132657977,0.12501,48381056591.13,313.894556,7.708945,-0.057238
000831,2025-07-28,45.864,117979014,0.11117,48699422833.23,313.894556,7.708945,-0.057238
000831,2025-07-29,45.095,73919096,0.06965,47882282811.84,313.894556,7.708945,-0.057238
000831,2025-07-30,43.475,81829494,0.07711,46163105104.5,313.894556,7.708945,-0.057238
000831,2025-07-31,42.336,51839042,0.04885,44953313384.52,313.894556,7.708945,-0.057238
000831,2025-08-01,41.017,44634780,0.04206,43552501919.28,313.894556,7.708945,-0.057238
000831,2025-08-04,41.157,40359976,0.03803,43701072832.26,313.894556,7.708945,-0.057238
000831,2025-08-05,41.207,31364525,0.02956,43754133872.61,313.894556,7.708945,-0.057238
000831,2025-08-06,41.197,32832459,0.03094,43743521664.54,313.894556,7.708945,-0.057238
000831,2025-08-07,42.806,99685106,0.09393,45452087163.81,313.894556,7.708945,-0.057238
000831,2025-08-08,42.176,60355914,0.05687,44783518055.4,313.894556,7.708945,-0.057238
000831,2025-08-11,42.886,65993503,0.06219,45536984828.37,313.894556,7.708945,-0.057238
000831,2025-08-12,41.127,56450296,0.05319,43669236208.05,313.894556,7.708945,-0.057238
000831,2025-08-13,41.337,37060058,0.03492,43892092577.52,313.894556,7.708945,-0.057238
000831,2025-08-14,41.317,49346647,0.0465,43870868161.38,313.894556,7.708945,-0.057238
000831,2025-08-15,41.896,46805335,0.04411,44486376229.44,313.894556,7.708945,-0.057238
000831,2025-08-18,44.915,100609438,0.09481,47691263066.58,313.894556,7.708945,-0.057238
000831,2025-08-19,46.154,119048178,0.11218,49007176867.26,313.894556,7.708945,-0.057238
000831,2025-08-20,45.714,84009762,0.07916,48540239712.18,313.894556,7.708945,-0.057238
000831,2025-08-21,47.333,98526845,0.09284,50259417419.52,313.894556,7.708945,-0.057238
000831,2025-08-22,47.453,93475046,0.08808,50386763916.36,313.894556,7.708945,-0.057238
