network,variant,horizon,cost_bps,metric,n_periods,n_periods_excluded,mean_period_return,std_period_return,mean_turnover,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-corr,alpha_0.75,5,15.0,net_return,6,0,0.004060040220866436,0.023517007716516464,0.7583333333333333,0.004060040220866436,-0.003224684134214469,0.009908172486514913,0.0032305647752431756,6,2,200,42
W-corr,alpha_0.75,20,0.0,gross_return,6,0,-0.039122201591041655,0.060001992859907025,0.7583333333333333,-0.039122201591041655,-0.07410580735946838,0.0009738806777458195,0.02153130721808423,6,2,200,42
W-corr,alpha_0.75,20,0.0,net_return,6,0,-0.039122201591041655,0.060001992859907025,0.7583333333333333,-0.039122201591041655,-0.07410580735946838,0.0009738806777458195,0.02153130721808423,6,2,200,42
W-corr,alpha_0.75,20,15.0,gross_return,6,0,-0.039122201591041655,0.060001992859907025,0.7583333333333333,-0.039122201591041655,-0.07410580735946838,0.0009738806777458195,0.02153130721808423,6,2,200,42
W-corr,alpha_0.75,20,15.0,net_return,6,0,-0.041397201591041655,0.05963052212328874,0.7583333333333333,-0.041397201591041655,-0.07598893235946838,-0.0015717443222541786,0.021399922455153653,6,2,200,42
W-corr,b0_alpha_0.40,5,0.0,gross_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,b0_alpha_0.40,5,0.0,net_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,b0_alpha_0.40,5,15.0,gross_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,b0_alpha_0.40,5,15.0,net_return,6,0,0.008852730207569201,0.023214434583595022,0.7374999999999999,0.008852730207569201,-0.0005529087333797494,0.019919032257365327,0.0055856001179044636,6,2,200,42
W-corr,b0_alpha_0.40,20,0.0,gross_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,b0_alpha_0.40,20,0.0,net_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,b0_alpha_0.40,20,15.0,gross_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,b0_alpha_0.40,20,15.0,net_return,6,0,-0.03328828402732797,0.05170881768476435,0.7374999999999999,-0.03328828402732797,-0.06800083575507587,0.0014806409119957926,0.019875008170215966,6,2,200,42
W-corr,gate_V1,5,0.0,gross_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,gate_V1,5,0.0,net_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,gate_V1,5,15.0,gross_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,gate_V1,5,15.0,net_return,6,0,0.008852730207569201,0.023214434583595022,0.7374999999999999,0.008852730207569201,-0.0005529087333797494,0.019919032257365327,0.0055856001179044636,6,2,200,42
W-corr,gate_V1,20,0.0,gross_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,gate_V1,20,0.0,net_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,gate_V1,20,15.0,gross_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,gate_V1,20,15.0,net_return,6,0,-0.03328828402732797,0.05170881768476435,0.7374999999999999,-0.03328828402732797,-0.06800083575507587,0.0014806409119957926,0.019875008170215966,6,2,200,42
W-corr,gate_V2,5,0.0,gross_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,gate_V2,5,0.0,net_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,gate_V2,5,15.0,gross_return,6,0,0.0110652302075692,0.02342141192728425,0.7374999999999999,0.0110652302075692,0.0013470912666202512,0.022444032257365326,0.005778226444203425,6,2,200,42
W-corr,gate_V2,5,15.0,net_return,6,0,0.008852730207569201,0.023214434583595022,0.7374999999999999,0.008852730207569201,-0.0005529087333797494,0.019919032257365327,0.0055856001179044636,6,2,200,42
W-corr,gate_V2,20,0.0,gross_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,gate_V2,20,0.0,net_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,gate_V2,20,15.0,gross_return,6,0,-0.03107578402732797,0.05202012692907353,0.7374999999999999,-0.03107578402732797,-0.06596927325507587,0.0038665784119957906,0.020012597526475707,6,2,200,42
W-corr,gate_V2,20,15.0,net_return,6,0,-0.03328828402732797,0.05170881768476435,0.7374999999999999,-0.03328828402732797,-0.06800083575507587,0.0014806409119957926,0.019875008170215966,6,2,200,42
