network,variant,horizon,n_days,n_days_excluded,mean_n_stocks,mean_pearson_ic,std_pearson_ic,icir_pearson,t_stat_pearson,spearman_n_days,mean_spearman_ic,std_spearman_ic,icir_spearman,t_stat_spearman,p_value_pearson,holm_adjusted_p
W-ind,alpha_0.00,5,6,0,99.0,0.06081348789712523,0.19462101643246893,0.3124713302390277,0.7653953183343133,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.44403617991528477,1.0
W-ind,alpha_0.00,20,6,0,99.0,-0.11977132256087486,0.2635795150582617,-0.4544030006823579,-1.113055489261333,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.265684598595616,1.0
W-ind,alpha_0.05,5,6,0,99.0,0.06081294722693644,0.1946208083888517,0.31246888619141067,0.7653893316647445,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.4440397437288608,1.0
W-ind,alpha_0.05,20,6,0,99.0,-0.11977106434931677,0.26357900318708766,-0.45440290349798307,-1.1130552512092038,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.2656847008283785,1.0
W-ind,alpha_0.20,5,6,0,99.0,0.06081090912350787,0.19462002401878156,0.312459673304939,0.7653667647938308,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.4440531777423511,1.0
W-ind,alpha_0.20,20,6,0,99.0,-0.11977009087615477,0.2635770734648204,-0.4544025369950868,-1.1130543534641186,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.2656850863700595,1.0
W-ind,alpha_0.60,5,6,0,99.0,0.060797600332545755,0.19461489698307194,0.312399519641264,0.7652194190116681,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.44414089809755897,1.0
W-ind,alpha_0.60,20,6,0,99.0,-0.11976372936278362,0.2635644654393248,-0.4544001376025951,-1.1130484761768213,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.26568761041369515,1.0
W-ind,alpha_0.75,5,6,0,99.0,0.06078065625660769,0.1946083566920694,0.31232295102713126,0.7650318649767308,6,0.07041022469593898,0.16426520383861823,0.4286374901717667,1.049943135548068,0.44425257021031905,1.0
W-ind,alpha_0.75,20,6,0,99.0,-0.11975561831144166,0.26354839608534747,-0.4543970674466181,-1.1130409558612469,6,-0.10990105132962275,0.23695519576724003,-0.4638051973233709,-1.1360860734931248,0.26569084009181587,1.0
W-ind,b0_alpha_0.40,5,6,0,99.0,0.060806550776961156,0.1946183459989192,0.31243997303984306,0.7653185091965482,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.4440819049822555,1.0
W-ind,b0_alpha_0.40,20,6,0,99.0,-0.11976800852164989,0.2635729459335482,-0.4544017524159923,-1.1130524316456742,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.2656859117071053,1.0
W-ind,gate_V1,5,6,0,99.0,0.060806550776961156,0.1946183459989192,0.31243997303984306,0.7653185091965482,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.4440819049822555,1.0
W-ind,gate_V1,20,6,0,99.0,-0.11976800852164989,0.2635729459335482,-0.4544017524159923,-1.1130524316456742,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.2656859117071053,1.0
W-ind,gate_V2,5,6,0,99.0,0.060806550776961156,0.1946183459989192,0.31243997303984306,0.7653185091965482,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.4440819049822555,1.0
W-ind,gate_V2,20,6,0,99.0,-0.11976800852164989,0.2635729459335482,-0.4544017524159923,-1.1130524316456742,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.2656859117071053,1.0
W-ind,gate_V3,5,6,0,99.0,0.060806550776961156,0.1946183459989192,0.31243997303984306,0.7653185091965482,6,0.07042671614100184,0.16420776796662573,0.42888784746964986,1.0505563831812634,0.4440819049822555,1.0
W-ind,gate_V3,20,6,0,99.0,-0.11976800852164989,0.2635729459335482,-0.4544017524159923,-1.1130524316456742,6,-0.10989692846835704,0.2369358882037866,-0.46382559139304214,-1.136136028557598,0.2656859117071053,1.0
W-ind,placebo_node_permutation,5,6,0,99.0,0.06303674539002742,0.1887283545934272,0.3340078152317171,0.8181487174195098,6,0.07670789527932385,0.16000679233031634,0.47940399380651844,1.174295165478357,0.41327227371400843,1.0
W-ind,placebo_node_permutation,20,6,0,99.0,-0.11658125816544003,0.2573081015704068,-0.45308040226452057,-1.1098157980030194,6,-0.09964955679241393,0.22911112059235117,-0.4349398516090218,-1.0653807052439366,0.2670784102476662,1.0
