network,variant,signal_date,horizon,n_stocks,excluded,pearson_ic,spearman_ic
W-attn,alpha_0.00,2026-07-21,20,98,False,0.13837423224738898,0.10526684900764427
W-attn,alpha_0.00,2026-07-28,5,98,False,-0.18809278376569888,-0.24527411714451475
W-attn,alpha_0.00,2026-07-28,20,98,False,0.0022937245564496034,0.011099847624148066
W-attn,alpha_0.00,2026-08-04,5,98,False,0.23410297651050543,0.16452129117813946
W-attn,alpha_0.00,2026-08-04,20,0,True,,
W-attn,alpha_0.00,2026-08-11,5,98,False,0.2851431685639748,0.3239740132229086
W-attn,alpha_0.00,2026-08-11,20,0,True,,
W-attn,alpha_0.00,2026-08-18,5,98,False,-0.24195120056931982,-0.19191069117431414
W-attn,alpha_0.00,2026-08-18,20,0,True,,
W-attn,alpha_0.00,2026-08-25,5,0,True,,
W-attn,alpha_0.00,2026-08-25,20,0,True,,
W-attn,alpha_0.05,2025-04-02,5,99,False,-0.0179437163199118,0.01706864564007421
W-attn,alpha_0.05,2025-04-02,20,99,False,0.03483115144965925,0.06921459492888064
W-attn,alpha_0.05,2025-04-10,5,99,False,0.24650338282712012,0.263030303030303
W-attn,alpha_0.05,2025-04-10,20,99,False,-0.33187405224893124,-0.3614594928880643
W-attn,alpha_0.05,2025-04-17,5,99,False,-0.09777297069318255,-0.05229437229437229
W-attn,alpha_0.05,2025-04-17,20,99,False,-0.3040075251374497,-0.21497835497835494
W-attn,alpha_0.05,2025-04-24,5,99,False,0.13938028644873768,0.19882498453927022
W-attn,alpha_0.05,2025-04-24,20,99,False,-0.16846156828266845,-0.1374891774891775
W-attn,alpha_0.05,2025-05-06,5,99,False,-0.18835152631354218,-0.1538899196042053
W-attn,alpha_0.05,2025-05-06,20,99,False,-0.28623747162138646,-0.26691403834260974
W-attn,alpha_0.05,2025-05-13,5,99,False,0.2959426482862346,0.17476808905380334
W-attn,alpha_0.05,2025-05-13,20,99,False,0.3475619920720772,0.2763883735312307
W-attn,alpha_0.05,2025-05-20,5,99,False,0.040325737550470066,0.07844155844155844
W-attn,alpha_0.05,2025-05-20,20,99,False,-0.14283317199344794,-0.10359925788497215
W-attn,alpha_0.05,2025-05-27,5,99,False,-0.2065810573477306,-0.20061842918985778
W-attn,alpha_0.05,2025-05-27,20,99,False,-0.3566412468648356,-0.37158936301793444
W-attn,alpha_0.05,2025-06-04,5,99,False,-0.08609520986766367,-0.03100803957946815
W-attn,alpha_0.05,2025-06-04,20,99,False,0.03586956954650526,0.06869511440940013
W-attn,alpha_0.05,2025-06-11,5,99,False,0.011948786189095638,-0.07465677179962894
W-attn,alpha_0.05,2025-06-11,20,99,False,0.009999186137631304,0.054978354978354974
W-attn,alpha_0.05,2025-06-18,5,99,False,-0.2988554917170718,-0.28191713048855904
W-attn,alpha_0.05,2025-06-18,20,99,False,-0.16134093275488617,-0.2120964749536178
W-attn,alpha_0.05,2025-06-25,5,99,False,-0.062480798757855865,-7.421150278293136e-05
W-attn,alpha_0.05,2025-06-25,20,99,False,-0.1527152633711023,-0.12969696969696967
W-attn,alpha_0.05,2025-07-02,5,99,False,-0.10111728906448526,0.0032282003710575134
W-attn,alpha_0.05,2025-07-02,20,99,False,-0.19562903662005468,-0.09223252937538652
W-attn,alpha_0.05,2025-07-09,5,99,False,-0.15258080906475438,-0.05595547309833024
W-attn,alpha_0.05,2025-07-09,20,99,False,-0.04324759222281934,0.03542362399505257
W-attn,alpha_0.05,2025-07-16,5,99,False,-0.14186132930831222,-0.09340754483611627
W-attn,alpha_0.05,2025-07-16,20,97,False,0.21147061171090759,-0.09095571218177992
W-attn,alpha_0.05,2025-07-23,5,99,False,0.15054037644551096,0.042609771181199754
W-attn,alpha_0.05,2025-07-23,20,97,False,0.14290071947039548,-0.05916000420786871
W-attn,alpha_0.05,2025-07-30,5,99,False,0.14749066352500925,0.05793444650587508
W-attn,alpha_0.05,2025-07-30,20,97,False,0.10296199689950762,-0.10235640648011782
W-attn,alpha_0.05,2025-08-06,5,97,False,-0.01714607316254543,-0.1914448769198401
W-attn,alpha_0.05,2025-08-06,20,94,False,0.03639984812160316,0.04500234801141495
W-attn,alpha_0.05,2025-08-13,5,97,False,0.2243802021809987,0.3766436987166
W-attn,alpha_0.05,2025-08-13,20,94,False,0.06922410927945595,0.2044214861106094
W-attn,alpha_0.05,2025-08-20,5,98,False,0.13110683978946777,0.03503369482750926
W-attn,alpha_0.05,2025-08-20,20,95,False,-0.07013398616171239,-0.051735722284434495
W-attn,alpha_0.05,2025-08-27,5,95,False,0.08021731592630355,0.04577267637178051
W-attn,alpha_0.05,2025-08-27,20,95,False,0.0552008527465756,0.051161814109742444
W-attn,alpha_0.05,2025-09-03,5,96,False,-0.025297682954450274,0.038022246337493217
W-attn,alpha_0.05,2025-09-03,20,94,False,0.0006803387888476974,0.09740996279304989
W-attn,alpha_0.05,2025-09-10,5,97,False,-0.015803853601205363,-0.01909320429202609
W-attn,alpha_0.05,2025-09-10,20,95,False,0.09756053689437914,0.12753359462486002
W-attn,alpha_0.05,2025-09-17,5,98,False,0.15494889098874925,-0.025075072203201803
W-attn,alpha_0.05,2025-09-17,20,96,False,0.2722776996550411,0.18608247422680416
W-attn,alpha_0.05,2025-09-24,5,96,False,0.10100368962336452,0.1666304937601736
W-attn,alpha_0.05,2025-09-24,20,96,False,0.09841772074590531,0.03562126966901791
W-attn,alpha_0.05,2025-10-09,5,96,False,-0.0873294525668627,-0.10438144329896908
W-attn,alpha_0.05,2025-10-09,20,96,False,-0.3872723620490413,-0.26314432989690717
W-attn,alpha_0.05,2025-10-16,5,97,False,0.11696099593842314,0.20598832316431723
W-attn,alpha_0.05,2025-10-16,20,97,False,0.3869998832551188,0.3952898169577108
W-attn,alpha_0.05,2025-10-23,5,98,False,-0.09273635394821622,0.05743740795287187
W-attn,alpha_0.05,2025-10-23,20,98,False,-0.13101479577701738,-0.10119924258363137
W-attn,alpha_0.05,2025-10-30,5,98,False,-0.1761027012227939,-0.16902243559091862
W-attn,alpha_0.05,2025-10-30,20,97,False,-0.024775653823052038,-0.14636808331580053
W-attn,alpha_0.05,2025-11-06,5,98,False,-0.3395913180482767,-0.3385102869638952
W-attn,alpha_0.05,2025-11-06,20,97,False,0.09345881904887168,-0.11974016410687985
W-attn,alpha_0.05,2025-11-13,5,98,False,-0.0167555276226495,0.004928306842887108
W-attn,alpha_0.05,2025-11-13,20,97,False,-0.06504024376835922,-0.08463075952030295
W-attn,alpha_0.05,2025-11-20,5,97,False,0.11489600098166282,0.05643803913317904
W-attn,alpha_0.05,2025-11-20,20,97,False,0.1068781686081385,0.07065274563433621
W-attn,alpha_0.05,2025-11-27,5,97,False,0.03170874437666858,0.05388701872501578
W-attn,alpha_0.05,2025-11-27,20,96,False,0.03154842735332143,0.022965274009766685
W-attn,alpha_0.05,2025-12-04,5,97,False,-0.12453399324822599,0.02798232695139911
W-attn,alpha_0.05,2025-12-04,20,95,False,-0.08392463481682111,0.021710526315789475
W-attn,alpha_0.05,2025-12-11,5,98,False,-0.15403115852785565,-0.14334168531517572
W-attn,alpha_0.05,2025-12-11,20,96,False,-0.13688854573417908,-0.11794628323385783
W-attn,alpha_0.05,2025-12-18,5,97,False,0.1830530980571958,0.13939880075741634
W-attn,alpha_0.05,2025-12-18,20,96,False,0.07825719988268438,0.016250678241996743
W-attn,alpha_0.05,2025-12-25,5,96,False,0.19893921241351534,0.147680412371134
W-attn,alpha_0.05,2025-12-25,20,96,False,0.1734200311478258,0.07331795984807378
W-attn,alpha_0.05,2026-01-05,5,97,False,0.2994570040106602,0.23222175468125392
W-attn,alpha_0.05,2026-01-05,20,97,False,0.2713905487055043,0.053255838417841365
W-attn,alpha_0.05,2026-01-12,5,97,False,0.047571536472515275,0.0035240900483904897
W-attn,alpha_0.05,2026-01-12,20,97,False,0.009950115656766127,0.047877656217126016
W-attn,alpha_0.05,2026-01-19,5,98,False,0.014744219320442115,-0.06498606940433155
W-attn,alpha_0.05,2026-01-19,20,98,False,0.1539391476594404,-0.05704212331605556
W-attn,alpha_0.05,2026-01-26,5,98,False,0.07527477036991329,-0.057998457114804676
W-attn,alpha_0.05,2026-01-26,20,98,False,0.2741565830931102,0.053905348456158464
W-attn,alpha_0.05,2026-02-02,5,98,False,0.15629413111234533,0.14860789676695418
W-attn,alpha_0.05,2026-02-02,20,98,False,0.11768094094015955,0.14471880598537443
W-attn,alpha_0.05,2026-02-09,5,98,False,0.18714502183622567,0.22038393614240445
W-attn,alpha_0.05,2026-02-09,20,98,False,0.04030460951426848,-0.0936505811321717
W-attn,alpha_0.05,2026-02-24,5,98,False,0.2645688220083071,0.01540972527717741
W-attn,alpha_0.05,2026-02-24,20,98,False,0.22514463991929703,0.0992738238688165
W-attn,alpha_0.05,2026-03-03,5,98,False,0.02403268162677177,0.18100848586857424
W-attn,alpha_0.05,2026-03-03,20,98,False,-0.11681752335627998,-0.23072509228621155
W-attn,alpha_0.05,2026-03-10,5,98,False,-0.3084804161023076,-0.2560360601597715
W-attn,alpha_0.05,2026-03-10,20,98,False,0.013097274342993181,-0.039483834771021804
W-attn,alpha_0.05,2026-03-17,5,98,False,-0.2192623565388295,-0.281028250100415
W-attn,alpha_0.05,2026-03-17,20,98,False,-0.052465187011215664,0.07169315711289202
W-attn,alpha_0.05,2026-03-24,5,98,False,-0.12560766269849297,-0.07447290068792277
W-attn,alpha_0.05,2026-03-24,20,98,False,0.15709688761313118,0.21759144145005704
W-attn,alpha_0.05,2026-03-31,5,98,False,0.3017786077260366,0.2907573526130227
W-attn,alpha_0.05,2026-03-31,20,98,False,0.004704422228691496,0.036359811028441366
W-attn,alpha_0.05,2026-04-08,5,98,False,-0.04026949435712242,0.07383534482209002
W-attn,alpha_0.05,2026-04-08,20,97,False,0.1976231912492613,0.2786135072585735
W-attn,alpha_0.05,2026-04-15,5,98,False,0.07891955149263111,0.1360352950927325
W-attn,alpha_0.05,2026-04-15,20,97,False,0.22101864646169236,0.2341678939617084
W-attn,alpha_0.05,2026-04-22,5,98,False,-0.3398386032012664,-0.17863677804767641
W-attn,alpha_0.05,2026-04-22,20,97,False,-0.14572606864039522,-0.18571165579633914
W-attn,alpha_0.05,2026-04-29,5,97,False,0.23744466542620885,0.22984167893961707
W-attn,alpha_0.05,2026-04-29,20,97,False,0.10841734777735673,0.13566431727330108
W-attn,alpha_0.05,2026-05-11,5,98,False,0.12936082712771688,0.15245873419658398
W-attn,alpha_0.05,2026-05-11,20,98,False,0.09186593513358285,0.12000714062569731
W-attn,alpha_0.05,2026-05-18,5,98,False,-0.05682562225714987,-0.14650396240970615
W-attn,alpha_0.05,2026-05-18,20,98,False,-0.00699344695496001,0.009429451255666276
W-attn,alpha_0.05,2026-05-25,5,98,False,0.16666181117301782,0.06232108588515067
W-attn,alpha_0.05,2026-05-25,20,98,False,-0.03223937895783152,0.06951271605174403
W-attn,alpha_0.05,2026-06-01,5,98,False,-0.040864787424764244,-0.025508610191968067
W-attn,alpha_0.05,2026-06-01,20,98,False,0.02072865288181484,0.1259491612952585
W-attn,alpha_0.05,2026-06-08,5,98,False,-0.18077371757786806,-0.23421889843097496
W-attn,alpha_0.05,2026-06-08,20,98,False,0.013394643538800651,-0.06416999789606564
W-attn,alpha_0.05,2026-06-15,5,98,False,0.15791345104860574,0.05016927108237859
W-attn,alpha_0.05,2026-06-15,20,98,False,0.19084302616737658,0.11669185012336705
W-attn,alpha_0.05,2026-06-23,5,98,False,-0.2544141557615632,-0.34093299925405957
W-attn,alpha_0.05,2026-06-23,20,98,False,0.015368182578726188,0.0045840266753374255
W-attn,alpha_0.05,2026-06-30,5,98,False,0.2145594628788982,0.18112324592442414
W-attn,alpha_0.05,2026-06-30,20,98,False,0.27168422487245036,0.1964373378217266
W-attn,alpha_0.05,2026-07-07,5,98,False,0.08177664905592598,0.02935944762159784
W-attn,alpha_0.05,2026-07-07,20,98,False,0.2545569610459942,0.16082346715630955
W-attn,alpha_0.05,2026-07-14,5,98,False,-0.1592900950684648,-0.2315794171464274
W-attn,alpha_0.05,2026-07-14,20,98,False,-0.11523399811850192,-0.093676083366805
W-attn,alpha_0.05,2026-07-21,5,98,False,-0.1747934377296408,-0.1071795166051425
W-attn,alpha_0.05,2026-07-21,20,98,False,0.13825460613157065,0.10859489062729122
W-attn,alpha_0.05,2026-07-28,5,98,False,-0.19292981375908194,-0.245745908485231
W-attn,alpha_0.05,2026-07-28,20,98,False,0.00019864181793630375,0.0038954663402380628
W-attn,alpha_0.05,2026-08-04,5,98,False,0.2305967620056374,0.16679099006050405
W-attn,alpha_0.05,2026-08-04,20,0,True,,
W-attn,alpha_0.05,2026-08-11,5,98,False,0.28136732124315017,0.31919234422916304
W-attn,alpha_0.05,2026-08-11,20,0,True,,
W-attn,alpha_0.05,2026-08-18,5,98,False,-0.2440608223656726,-0.19786546296119192
W-attn,alpha_0.05,2026-08-18,20,0,True,,
W-attn,alpha_0.05,2026-08-25,5,0,True,,
W-attn,alpha_0.05,2026-08-25,20,0,True,,
W-attn,alpha_0.20,2025-04-02,5,99,False,0.004449072565356255,0.03635126777983921
W-attn,alpha_0.20,2025-04-02,20,99,False,0.06751438705725692,0.10538033395176252
W-attn,alpha_0.20,2025-04-10,5,99,False,0.2388785680656601,0.24084106369820654
W-attn,alpha_0.20,2025-04-10,20,99,False,-0.3229916585171668,-0.3686580086580086
W-attn,alpha_0.20,2025-04-17,5,99,False,-0.09595765795866773,-0.026481137909709337
W-attn,alpha_0.20,2025-04-17,20,99,False,-0.30843644026343536,-0.20552875695732836
W-attn,alpha_0.20,2025-04-24,5,99,False,0.15813342100345773,0.21787260358688926
W-attn,alpha_0.20,2025-04-24,20,99,False,-0.16564837840015487,-0.13855287569573282
W-attn,alpha_0.20,2025-05-06,5,99,False,-0.18669293378030524,-0.14582560296846012
W-attn,alpha_0.20,2025-05-06,20,99,False,-0.28528451913014613,-0.2533580705009276
W-attn,alpha_0.20,2025-05-13,5,99,False,0.3021811568935916,0.17548546691403832
W-attn,alpha_0.20,2025-05-13,20,99,False,0.3502413711473006,0.26951144094001234
W-attn,alpha_0.20,2025-05-20,5,99,False,0.03653695422430062,0.08011131725417438
W-attn,alpha_0.20,2025-05-20,20,99,False,-0.14020483090105976,-0.09261595547309832
W-attn,alpha_0.20,2025-05-27,5,99,False,-0.19812575118668163,-0.19529993815708102
W-attn,alpha_0.20,2025-05-27,20,99,False,-0.33196018638492436,-0.3612987012987013
W-attn,alpha_0.20,2025-06-04,5,99,False,-0.10246120273083013,-0.06265924551638838
W-attn,alpha_0.20,2025-06-04,20,99,False,0.019124677925424684,0.04557823129251701
W-attn,alpha_0.20,2025-06-11,5,99,False,0.026263679444493076,-0.08053184910327767
W-attn,alpha_0.20,2025-06-11,20,99,False,0.0018190588946600764,0.038058132343846626
W-attn,alpha_0.20,2025-06-18,5,99,False,-0.2977632983621556,-0.2762646876932591
W-attn,alpha_0.20,2025-06-18,20,99,False,-0.1588428815501359,-0.20220160791589362
W-attn,alpha_0.20,2025-06-25,5,99,False,-0.06614732573876828,0.002053184910327767
W-attn,alpha_0.20,2025-06-25,20,99,False,-0.15812791814858845,-0.1254421768707483
W-attn,alpha_0.20,2025-07-02,5,99,False,-0.0950959121651811,0.014730983302411873
W-attn,alpha_0.20,2025-07-02,20,99,False,-0.18944587240795083,-0.10342609771181199
W-attn,alpha_0.20,2025-07-09,5,99,False,-0.15875452026254094,-0.06163265306122449
W-attn,alpha_0.20,2025-07-09,20,99,False,-0.04948897572730615,0.0378726035868893
W-attn,alpha_0.20,2025-07-16,5,99,False,-0.15473328386029617,-0.10685219542362398
W-attn,alpha_0.20,2025-07-16,20,97,False,0.20202031125208497,-0.10424994740164105
W-attn,alpha_0.20,2025-07-23,5,99,False,0.15165618002222836,0.06753246753246753
W-attn,alpha_0.20,2025-07-23,20,97,False,0.1491102950669654,-0.030283505154639172
