network,variant,horizon,n_days,n_days_excluded,mean_n_stocks,mean_pearson_ic,std_pearson_ic,icir_pearson,t_stat_pearson,spearman_n_days,mean_spearman_ic,std_spearman_ic,icir_spearman,t_stat_spearman,p_value_pearson,holm_adjusted_p
W-attn,gate_V1,5,68,1,96.5072463768116,0.010924068216826883,0.17168358874896844,0.06362907658459883,0.5246988072376327,68,0.005723653020433261,0.1596580871439866,0.03584944003037831,0.29562205572899153,0.5997925866163107,1.0
W-attn,gate_V1,20,65,4,91.76811594202898,0.029060547345117482,0.16776747691899088,0.1732191952743607,1.3965377992547539,65,0.0044105267743515825,0.14678939831841264,0.030046630239496965,0.2422436774586459,0.1625526062011482,1.0
W-attn,gate_V2,5,68,1,96.5072463768116,0.010924068216826883,0.17168358874896844,0.06362907658459883,0.5246988072376327,68,0.005723653020433261,0.1596580871439866,0.03584944003037831,0.29562205572899153,0.5997925866163107,1.0
W-attn,gate_V2,20,65,4,91.76811594202898,0.029060547345117482,0.16776747691899088,0.1732191952743607,1.3965377992547539,65,0.0044105267743515825,0.14678939831841264,0.030046630239496965,0.2422436774586459,0.1625526062011482,1.0
W-attn,gate_V3,5,68,1,96.5072463768116,0.010924068216826883,0.17168358874896844,0.06362907658459883,0.5246988072376327,68,0.005723653020433261,0.1596580871439866,0.03584944003037831,0.29562205572899153,0.5997925866163107,1.0
W-attn,gate_V3,20,65,4,91.76811594202898,0.029060547345117482,0.16776747691899088,0.1732191952743607,1.3965377992547539,65,0.0044105267743515825,0.14678939831841264,0.030046630239496965,0.2422436774586459,0.1625526062011482,1.0
W-corr,alpha_0.00,5,68,1,96.5072463768116,0.00823691671861886,0.17382704572428984,0.04738570275009781,0.3907525151655491,68,0.004283586727541477,0.16635026003727674,0.025750405960180564,0.212343287352718,0.6959801772476495,1.0
W-corr,alpha_0.00,20,65,4,91.76811594202898,0.025158520853912972,0.16907960493900578,0.1487968987329295,1.1996389497323556,65,0.0047712607357676675,0.15343923456046302,0.03109544145886327,0.25069946383848435,0.2302795926752883,1.0
W-corr,alpha_0.05,5,68,1,96.5072463768116,0.008762718062419314,0.17569350310893955,0.0498750261527084,0.41128000181611984,68,0.00432152372635807,0.16863205933124514,0.025626940354617093,0.21132516388697994,0.6808672317538509,1.0
W-corr,alpha_0.05,20,65,4,91.76811594202898,0.026021838767121712,0.1704659121703983,0.15265127459095865,1.2307139213586058,65,0.004830048461530024,0.15425048063572636,0.03131302049512917,0.25245364210948645,0.218429879491425,1.0
W-corr,alpha_0.20,5,68,1,96.5072463768116,0.01059805880026548,0.18242120640121737,0.05809663804632505,0.4790771503165517,68,0.005159529630292115,0.17674886701789874,0.029191302424414565,0.2407176464904203,0.6318837444626242,1.0
W-corr,alpha_0.20,20,65,4,91.76811594202898,0.028980936557927772,0.17537523983876063,0.165251015961961,1.3322962838535273,65,0.006036878027630472,0.15931144938739264,0.03789356038655317,0.30550765083710724,0.18276284780862762,1.0
W-corr,alpha_0.60,5,68,1,96.5072463768116,0.01773012493692923,0.21161248797971324,0.08378581579093276,0.6909155368691199,68,0.013096484682633813,0.21425673507484347,0.06112519486521155,0.5040512696314589,0.4896186216968188,1.0
W-corr,alpha_0.60,20,65,4,91.76811594202898,0.039669650304628594,0.19660245637105267,0.20177596474053755,1.6267698351498137,65,0.013579533922138393,0.18342533321410825,0.0740330339554968,0.5968734016377538,0.10378599044522296,1.0
W-corr,alpha_0.75,5,68,1,96.5072463768116,0.02088460384079675,0.22418968941067105,0.0931559515323664,0.7681836556457321,68,0.0177688072965406,0.23971548080453078,0.07412457149995111,0.6112468754958938,0.4423780823043879,1.0
W-corr,alpha_0.75,20,65,4,91.76811594202898,0.043731875939259666,0.2075642624958384,0.21069077794707786,1.6986433569988775,65,0.01956708350997626,0.2026523467864552,0.09655493173535792,0.7784507465198268,0.08938640197248926,1.0
W-corr,b0_alpha_0.40,5,68,1,96.5072463768116,0.01376236788876128,0.19480131447547744,0.07064822907287802,0.582580221460617,68,0.007911784955137098,0.18978672925760628,0.04168776703242547,0.3437661335416638,0.5601759232002697,1.0
W-corr,b0_alpha_0.40,20,65,4,91.76811594202898,0.03389105135950638,0.18422571673046378,0.18396482294104227,1.4831718191707888,65,0.009332634396520916,0.1678091222589505,0.0556145832293878,0.4483791045595264,0.13802876644334328,1.0
W-corr,gate_V1,5,68,1,96.5072463768116,0.01376236788876128,0.19480131447547744,0.07064822907287802,0.582580221460617,68,0.007911784955137098,0.18978672925760628,0.04168776703242547,0.3437661335416638,0.5601759232002697,1.0
W-corr,gate_V1,20,65,4,91.76811594202898,0.03389105135950638,0.18422571673046378,0.18396482294104227,1.4831718191707888,65,0.009332634396520916,0.1678091222589505,0.0556145832293878,0.4483791045595264,0.13802876644334328,1.0
W-corr,gate_V2,5,68,1,96.5072463768116,0.01376236788876128,0.19480131447547744,0.07064822907287802,0.582580221460617,68,0.007911784955137098,0.18978672925760628,0.04168776703242547,0.3437661335416638,0.5601759232002697,1.0
W-corr,gate_V2,20,65,4,91.76811594202898,0.03389105135950638,0.18422571673046378,0.18396482294104227,1.4831718191707888,65,0.009332634396520916,0.1678091222589505,0.0556145832293878,0.4483791045595264,0.13802876644334328,1.0
W-corr,gate_V3,5,68,1,96.5072463768116,0.01376236788876128,0.19480131447547744,0.07064822907287802,0.582580221460617,68,0.007911784955137098,0.18978672925760628,0.04168776703242547,0.3437661335416638,0.5601759232002697,1.0
W-corr,gate_V3,20,65,4,91.76811594202898,0.03389105135950638,0.18422571673046378,0.18396482294104227,1.4831718191707888,65,0.009332634396520916,0.1678091222589505,0.0556145832293878,0.4483791045595264,0.13802876644334328,1.0
W-ind,alpha_0.00,5,68,1,96.5072463768116,0.00823691671861886,0.17382704572428984,0.04738570275009781,0.3907525151655491,68,0.004283586727541477,0.16635026003727674,0.025750405960180564,0.212343287352718,0.6959801772476495,1.0
W-ind,alpha_0.00,20,65,4,91.76811594202898,0.025158520853912972,0.16907960493900578,0.1487968987329295,1.1996389497323556,65,0.0047712607357676675,0.15343923456046302,0.03109544145886327,0.25069946383848435,0.2302795926752883,1.0
W-ind,alpha_0.05,5,68,1,96.5072463768116,0.008236935623368946,0.1738278895990234,0.04738558146434071,0.39075151501757427,68,0.004277178689483393,0.16635313630682888,0.025711440039184956,0.2120219661365893,0.6959809165953574,1.0
W-ind,alpha_0.05,20,65,4,91.76811594202898,0.02515937401761182,0.16908044860223254,0.1488012021827556,1.1996736452540604,65,0.004778524057605814,0.1534340351292304,0.031143833593251225,0.2510896136989103,0.2302661123443912,1.0
W-ind,alpha_0.20,5,68,1,96.5072463768116,0.00823700689776124,0.1738310703122732,0.04738512443698434,0.390747746273446,68,0.004272018237298769,0.1663431966349651,0.02568195347762601,0.21177881372090168,0.6959837025980278,1.0
W-ind,alpha_0.20,20,65,4,91.76811594202898,0.02516258997490964,0.1690836287732164,0.1488174234103941,1.199804424972276,65,0.0047881367939534075,0.1534257691268561,0.031208165493988572,0.25160827406409275,0.23021530524284817,1.0
W-ind,alpha_0.60,5,68,1,96.5072463768116,0.008237472755423216,0.17385182687784578,0.047382146643826444,0.3907231907620035,68,0.0043085884442302545,0.16629795670916575,0.025908847766334463,0.21364983195729037,0.6960018550903966,1.0
W-ind,alpha_0.60,20,65,4,91.76811594202898,0.02518358556261861,0.1691043917098129,0.1489233088980577,1.2006581010656239,65,0.004845414261516598,0.15344184392100607,0.031578180616827586,0.25459143135518925,0.22988385325754623,1.0
