network,variant,horizon,cost_bps,metric,n_periods,n_periods_excluded,mean_period_return,std_period_return,mean_turnover,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-attn,b0_alpha_0.40,20,15.0,net_return,65,4,0.020920313707064472,0.06805919040270625,0.6514372469635628,0.020920313707064472,0.0045481352676875,0.03700695604308928,0.0081542924928642,65,2,2000,42
W-attn,gate_V1,5,0.0,gross_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V1,5,0.0,net_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V1,5,15.0,gross_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V1,5,15.0,net_return,68,1,0.0035575742776319343,0.034297840374504736,0.6452592879256964,0.0035575742776319343,-0.00407415906664243,0.011112468677617454,0.00393936677099612,68,2,2000,42
W-attn,gate_V1,20,0.0,gross_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V1,20,0.0,net_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V1,20,15.0,gross_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V1,20,15.0,net_return,65,4,0.020920313707064472,0.06805919040270625,0.6514372469635628,0.020920313707064472,0.0045481352676875,0.03700695604308928,0.0081542924928642,65,2,2000,42
W-attn,gate_V2,5,0.0,gross_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V2,5,0.0,net_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V2,5,15.0,gross_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V2,5,15.0,net_return,68,1,0.0035575742776319343,0.034297840374504736,0.6452592879256964,0.0035575742776319343,-0.00407415906664243,0.011112468677617454,0.00393936677099612,68,2,2000,42
W-attn,gate_V2,20,0.0,gross_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V2,20,0.0,net_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V2,20,15.0,gross_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V2,20,15.0,net_return,65,4,0.020920313707064472,0.06805919040270625,0.6514372469635628,0.020920313707064472,0.0045481352676875,0.03700695604308928,0.0081542924928642,65,2,2000,42
W-attn,gate_V3,5,0.0,gross_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V3,5,0.0,net_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V3,5,15.0,gross_return,68,1,0.005493352141409023,0.03428325077055172,0.6452592879256964,0.005493352141409023,-0.0021552001053841536,0.013019231154720432,0.003938013524323819,68,2,2000,42
W-attn,gate_V3,5,15.0,net_return,68,1,0.0035575742776319343,0.034297840374504736,0.6452592879256964,0.0035575742776319343,-0.00407415906664243,0.011112468677617454,0.00393936677099612,68,2,2000,42
W-attn,gate_V3,20,0.0,gross_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V3,20,0.0,net_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
W-attn,gate_V3,20,15.0,gross_return,65,4,0.022874625447955158,0.0679899014898783,0.6514372469635628,0.022874625447955158,0.006537437968278892,0.038934804428256746,0.008140314408509325,65,2,2000,42
