code,name,sector,cohort_key,feature_source,PC05,PC05_z,pca_version
300073,当升科技,growth,student_B,local_semantic,-2.1294717093796924,-0.39906737630076577,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300122,智飞生物,growth,student_C,local_semantic,5.0355127561972655,0.94366544297977228,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300142,沃森生物,growth,student_C,local_semantic,5.0743527850501433,0.9509441442376908,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300196,长海股份,tech,student_A,local_semantic,0.24284894850088748,0.045510392220180926,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300223,北京君正,tech,student_A,local_semantic,-1.3979939766978158,-0.26198694535725187,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300244,迪安诊断,growth,student_C,local_semantic,4.521112276483982,0.84726573552987483,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300274,阳光电源,tech,student_A,local_semantic,-0.15249968901943506,-0.028578755245072626,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300347,泰格医药,growth,student_C,local_semantic,5.4708007059166128,1.0252392996620197,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300363,博腾股份,growth,student_C,local_semantic,4.967982543356908,0.93101014225869161,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300450,先导智能,growth,student_B,local_semantic,-2.0298059048311647,-0.38038979962628072,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300474,景嘉微,tech,student_A,local_semantic,0.22363027353717335,0.041908773020468373,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300475,香农芯创,tech,student_A,local_semantic,-0.22614391276378021,-0.042379834179304292,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300568,星源材质,growth,student_B,local_semantic,-2.4557759675785964,-0.4602174651334256,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300676,华大基因,growth,student_C,local_semantic,5.5566721322556107,1.0413317815002925,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300750,宁德时代,tech,student_A,local_semantic,-0.79296968165943671,-0.14860414860269036,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300759,康龙化成,growth,student_C,local_semantic,6.1123156273359553,1.1454605148211463,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300760,迈瑞医疗,bluechip,student_C,local_semantic,6.285210170109389,1.1778613075893267,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300769,德方纳米,growth,student_B,local_semantic,-1.5586671932884619,-0.29209743647305619,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300782,卓胜微,tech,student_A,local_semantic,0.0095647826469422055,0.0017924599321933157,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300812,易天股份,tech,student_A,local_semantic,-0.37214704969395029,-0.069741122206641762,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
300957,贝泰妮,growth,student_C,local_semantic,5.7469360796543487,1.0769876364048683,pc5-full-svd-63860325d95daff9c609bee44540cd8f7d7d1240b2234de595f24f7af231d7c0
