feature,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10
dim_096,-0.10653355719850527,-0.021539991647001565,-0.026327293098606375,-0.066541730595135198,0.078712942753375856,-0.0335882890357692,-0.021268030173103015,-0.013110533881961985,0.012192623971644348,0.031205228487582018
dim_097,-0.0023435940851993329,0.028731605720222347,2.7638605095957744e-05,-0.0040110538917735991,0.0031931368215967759,-0.0053010412671243064,0.0046871494057397428,-0.0018365662550739307,0.046921015961436149,-0.042910519489776699
dim_098,-0.026047020514685625,-0.0083591242988072887,0.00062049235067383106,0.0040878177682641065,0.0060450294122210858,-0.02231538021169344,-0.0096677372852537625,-0.027792390867569301,-0.011740958150756823,0.00923031250629755
dim_099,0.028598363499642104,-0.0089008696815306102,-0.017925887681310725,-0.010473518174652906,-0.043557248641053682,0.0073477267615794104,0.050702673064265166,0.086378575847029571,0.018840137987365231,0.061936469493042615
dim_100,0.0019501468428385668,-0.0053255830063908948,-0.010066726571750418,0.017559494664285281,0.026069544574647403,-0.016375691543651229,0.0072888695713095222,-0.011919804709423746,0.0029125939743943484,-0.0096769908472729566
dim_101,0.0079527996862932063,-0.010178425336545378,0.0067677681654293225,0.01285149431561013,-0.00054482138008748267,0.015292549102599924,0.019722706273643552,0.033052723803288171,-0.012688049846686606,0.054969907856688885
dim_102,0.0071985814343224755,-0.00083759512823306317,-0.0019643116958563628,-0.0073496489094022691,-0.0098403376371608876,0.012470467854563164,0.0031875380501395745,-0.033942677673740262,-0.0062828378590292448,-0.060716940391244249
dim_103,-0.0008889607195645959,-0.011828212268975085,-0.0049972646731517934,0.0042561689431540343,-0.0067204634580442634,0.0053086723573436334,0.011551203572731896,-0.036683384284676074,0.010989618055198852,-0.0063654358742485633
dim_104,0.017296120440488432,-0.0090918723235802763,-0.011586100517240384,-0.003686420442523436,-0.018779850922468231,-0.010908151405589605,-0.013330840146374714,0.003065312642309971,-0.0023011696867439144,-0.033919287072323105
dim_105,-0.011740299618475943,-0.033112822262325994,0.0067107190114700102,-0.016832264486726738,0.00065509864951769821,-0.00020480135033672681,0.011309095902588707,0.021350846965304846,0.0048118923198109797,-0.013567352794965628
dim_106,-0.0033472799877806644,0.015322532816402199,0.013814326884202812,-0.0051455119149552324,0.002225177657698924,0.0025936750622745546,-0.0069777382499507335,-0.018040507645056485,-0.0040250299808040624,0.015448041025773148
dim_107,-0.021190702484425519,-0.005428468238141069,-0.0012215259824101311,0.0070424975917871687,-0.0013880424780039755,-0.013659161324668309,-0.034742355812813604,0.046668665719467706,-0.064643724687373949,-0.0067431458943138806
dim_108,-0.0029238974994312567,-0.0009624314279728255,-0.0031189701722282603,0.0034380314113123815,-0.0085191770285157776,0.018648330365821697,-0.019251286207292106,-0.022492826725077207,-0.013151316913091262,0.031651776631131549
dim_109,-0.0063589199409161508,0.0097957339046709849,0.0093918463953214775,0.010237035837860682,0.0040063686617806838,-0.015014708952234257,-0.012645384431711175,-0.024909515417111755,0.016608666612851316,0.020620172259209087
dim_110,0.081464711035109702,0.03045407282369696,0.025937626401030551,0.086847997854827108,-0.078130872305408938,0.02304527066361732,0.0019807967961312321,-0.056354340479019084,-0.053926771244186288,-0.0036637865120195717
dim_111,0.04155402667576092,-0.036914885161160295,0.12452416222851104,0.04415253708727504,0.05013855109243779,-0.024434919212528106,-0.01907754910526285,0.05003540471558126,-0.030272387323248967,-0.010167493019459094
dim_112,-0.0088226200216161722,-0.0065606095724041191,-0.014681806319613785,0.006655140689889468,0.0090143785624213976,0.0029887584504890829,-0.020459257807605519,0.021727022637222329,0.045166649415065117,0.059351098224146352
dim_113,-0.015628084099543846,0.0068134843554979972,0.00013743444148303586,-0.0053049046887752044,-0.02096524255273385,-0.015453048545885063,0.028245063056172217,0.010322708827897506,0.018778479921954576,-0.033039632931821931
dim_114,-0.020558727224752157,-0.08674447734028036,0.004599942866172233,-0.0073599376644886685,0.0061993376508011361,0.059449603943483378,0.038525235126987439,0.012613497633053059,-0.031776829955169408,0.056773739954184457
dim_115,0.01686815751493086,0.0098610609723181614,0.017834537831071806,0.013799341964107785,0.029303150040997473,0.0008136318160200368,0.012659701065257432,0.056461957300878052,-0.027807686681863668,-0.055945684122561345
dim_116,0.0010007522423323551,-0.0023417685577433347,0.014791744273146858,0.0036693545398021224,0.0012977094115229446,-0.0056039851833623398,-0.034399804347240652,0.060302919437353608,-0.022300436288112596,-0.029365564934834335
dim_117,-0.062984707245009389,-0.0015581400140388265,-0.040634532520320642,0.1285040114815276,-0.015456288328290036,0.08901625171859083,-0.039238182843203698,-0.0062060870910616867,0.021716690625633132,0.016191805925989615
dim_118,0.0012074165523540952,-0.00022475720965981394,0.00064442498134538776,0.0023417284577739914,-0.004901506440593637,0.027126524190482264,0.006509128844258129,0.0022384274648013128,-0.0025398495548404417,0.0072033263062934189
dim_119,0.070053138230850173,0.0054575923912035936,0.0068674208365583243,0.074765665849335541,-0.065034782790916693,0.02700053469987863,-0.010289785282217802,-0.0051254755629907209,-0.042113151851195608,-0.059187321923446938
dim_120,0.019345108139102479,0.022274568708868708,-0.015162153609513913,-0.0041526433264502827,0.019546222279745298,-0.0082110933537682639,-0.00070911547492995893,-0.0099596892894469255,-0.015301030543707694,-0.0291308162956311
dim_121,-0.010531855070654393,0.011447234064367401,-0.026452868532655254,-0.0089558857773200055,-0.0095130863776354407,0.001485966326991331,-0.025497825882834963,0.006456108849022462,-0.0015806549898396928,-0.04408564837618506
dim_122,0.0073089624971673208,-0.01849342993697721,0.0013060068121804253,0.013147728648038861,-0.0077981626035753242,0.00029956203956429722,0.0032138478219978436,-0.022089344723124203,0.0099636343438588189,0.013252800397451791
