feature,loading,absolute_loading
dim_587,0.035323677995042956,0.035323677995042956
dim_401,-0.035317840517413539,0.035317840517413539
dim_148,-0.035268572350290781,0.035268572350290781
dim_313,-0.035056231336397355,0.035056231336397355
dim_632,0.035053941578056518,0.035053941578056518
dim_412,-0.034594980660496502,0.034594980660496502
dim_281,0.034547168737514254,0.034547168737514254
dim_364,0.034461640075828984,0.034461640075828984
dim_018,0.033664772651047309,0.033664772651047309
dim_328,-0.033355777684644705,0.033355777684644705
dim_311,0.033343788736542548,0.033343788736542548
dim_292,-0.033163520931746897,0.033163520931746897
dim_616,-0.032276078079201458,0.032276078079201458
dim_031,-0.03215837959528197,0.03215837959528197
dim_192,-0.032132913726302226,0.032132913726302226
dim_171,-0.031681827526002404,0.031681827526002404
dim_660,-0.031650963574912323,0.031650963574912323
dim_083,0.031036287749571213,0.031036287749571213
dim_368,-0.030854192439124597,0.030854192439124597
dim_067,-0.030767218180944366,0.030767218180944366
dim_609,0.030485697189198423,0.030485697189198423
dim_308,-0.03043456992324578,0.03043456992324578
dim_282,0.030431047898719081,0.030431047898719081
dim_623,0.030355755658593223,0.030355755658593223
dim_757,-0.030338720223917419,0.030338720223917419
dim_180,0.030208884527143556,0.030208884527143556
dim_527,0.030103561219195336,0.030103561219195336
dim_044,-0.029883453430912695,0.029883453430912695
dim_435,0.029873371518813242,0.029873371518813242
dim_370,-0.029857418668674699,0.029857418668674699
dim_255,0.029739077787523844,0.029739077787523844
dim_062,0.029658606375220688,0.029658606375220688
dim_505,-0.029533799984314556,0.029533799984314556
dim_115,0.029303150040997473,0.029303150040997473
dim_519,-0.029258484336756787,0.029258484336756787
dim_431,0.029164847793265374,0.029164847793265374
dim_065,-0.028988839557461166,0.028988839557461166
dim_037,0.028592584960022857,0.028592584960022857
dim_531,0.028309868795408821,0.028309868795408821
dim_063,-0.028220321114553363,0.028220321114553363
dim_206,0.028179439089058244,0.028179439089058244
dim_456,0.02814487492412519,0.02814487492412519
dim_487,-0.028065731731089054,0.028065731731089054
dim_694,0.028003825681691342,0.028003825681691342
dim_307,-0.027918499563768864,0.027918499563768864
dim_397,-0.027886718548888492,0.027886718548888492
dim_204,-0.027797534478112989,0.027797534478112989
dim_477,0.027773162364704472,0.027773162364704472
dim_422,-0.027558151712057957,0.027558151712057957
dim_651,0.027484344789093462,0.027484344789093462
dim_340,-0.027480188856131512,0.027480188856131512
dim_482,-0.027241853717411946,0.027241853717411946
dim_217,0.02722361787243326,0.02722361787243326
dim_584,-0.027158697774081367,0.027158697774081367
dim_190,-0.02695810766302267,0.02695810766302267
dim_642,-0.026899765476829613,0.026899765476829613
dim_501,0.026819172523931983,0.026819172523931983
dim_736,-0.026752673429079558,0.026752673429079558
dim_299,0.026544278982981517,0.026544278982981517
dim_523,0.026309826490472595,0.026309826490472595
dim_073,-0.026234438968492289,0.026234438968492289
dim_100,0.026069544574647403,0.026069544574647403
dim_414,-0.025862691530163549,0.025862691530163549
dim_270,-0.025712075288400749,0.025712075288400749
dim_123,0.025701528802772145,0.025701528802772145
dim_608,0.0254814871567891,0.0254814871567891
dim_267,-0.025460176135689003,0.025460176135689003
dim_663,-0.025053431207249319,0.025053431207249319
dim_210,-0.024876501410313782,0.024876501410313782
dim_403,0.024807604403557552,0.024807604403557552
dim_417,-0.024774437827611066,0.024774437827611066
dim_164,-0.024723645272540961,0.024723645272540961
dim_040,-0.024578959006760388,0.024578959006760388
dim_312,0.024233534247153753,0.024233534247153753
dim_674,0.024108183480419244,0.024108183480419244
dim_686,0.023955246345711827,0.023955246345711827
dim_731,-0.023791704209713584,0.023791704209713584
dim_334,-0.023772635078604023,0.023772635078604023
dim_015,-0.023750040553071602,0.023750040553071602
dim_396,-0.023595020874972217,0.023595020874972217
dim_424,-0.023437412020151222,0.023437412020151222
dim_554,-0.023386461845500112,0.023386461845500112
dim_594,0.023302103921041643,0.023302103921041643
dim_641,0.02330205523956301,0.02330205523956301
dim_504,0.023068224511438733,0.023068224511438733
dim_288,-0.023040716880666837,0.023040716880666837
dim_146,0.022914857851162457,0.022914857851162457
dim_366,0.022741395278028126,0.022741395278028126
dim_695,0.02263395683229915,0.02263395683229915
dim_483,-0.022598111536113408,0.022598111536113408
dim_314,-0.022595233939114577,0.022595233939114577
dim_495,-0.022484103961427731,0.022484103961427731
dim_697,-0.0223269376540139,0.0223269376540139
dim_365,-0.022306332843709569,0.022306332843709569
dim_428,-0.022276694086532458,0.022276694086532458
dim_384,-0.022246617401162128,0.022246617401162128
dim_242,-0.022109916936027312,0.022109916936027312
dim_726,0.022086728341245924,0.022086728341245924
dim_650,-0.022006349189264425,0.022006349189264425
dim_572,-0.021764434800656561,0.021764434800656561
dim_259,0.021734103658444907,0.021734103658444907
dim_010,0.02159074438858799,0.02159074438858799
dim_760,-0.021524188150025162,0.021524188150025162
dim_130,0.02148171504959585,0.02148171504959585
dim_598,-0.021475689333648372,0.021475689333648372
dim_490,0.021302710474128649,0.021302710474128649
dim_391,0.021223547576302487,0.021223547576302487
dim_195,-0.021118870060677898,0.021118870060677898
dim_049,-0.021112012412995037,0.021112012412995037
dim_113,-0.02096524255273385,0.02096524255273385
dim_658,-0.020934196382730044,0.020934196382730044
dim_506,-0.020899303025073347,0.020899303025073347
dim_296,0.020794130899714727,0.020794130899714727
dim_283,-0.020509890867551957,0.020509890867551957
dim_583,0.020466914074235724,0.020466914074235724
dim_664,-0.020148223686203667,0.020148223686203667
dim_024,0.020112497995726827,0.020112497995726827
dim_692,0.020084579739679472,0.020084579739679472
dim_484,0.019802902316830191,0.019802902316830191
dim_744,0.019714497920208882,0.019714497920208882
dim_747,0.019596359208330531,0.019596359208330531
dim_701,-0.019573975803409419,0.019573975803409419
dim_120,0.019546222279745298,0.019546222279745298
dim_279,-0.019518154939487678,0.019518154939487678
dim_595,-0.019467090814718122,0.019467090814718122
dim_551,-0.019420952023622887,0.019420952023622887
dim_002,0.019411177009662273,0.019411177009662273
dim_613,-0.019394111787489125,0.019394111787489125
dim_507,0.019365640202678214,0.019365640202678214
dim_004,0.019258270273482064,0.019258270273482064
dim_310,0.019245571293884118,0.019245571293884118
dim_553,-0.019164878665060864,0.019164878665060864
dim_509,0.019125558545660368,0.019125558545660368
dim_750,-0.019032528822075557,0.019032528822075557
dim_710,0.019028036054932172,0.019028036054932172
dim_748,0.019005008307933578,0.019005008307933578
dim_709,0.018841156097457241,0.018841156097457241
dim_104,-0.018779850922468231,0.018779850922468231
dim_156,-0.018747761988676011,0.018747761988676011
dim_035,0.018712060600549599,0.018712060600549599
dim_634,0.018636618149465971,0.018636618149465971
dim_409,-0.018576236696950823,0.018576236696950823
dim_285,0.018568184430133174,0.018568184430133174
dim_000,0.018561007334270158,0.018561007334270158
dim_596,0.018362551818731646,0.018362551818731646
dim_241,-0.018349101308124522,0.018349101308124522
dim_085,0.018262034613847407,0.018262034613847407
dim_555,0.018221605576832951,0.018221605576832951
dim_421,0.018214566903399343,0.018214566903399343
dim_213,0.018093402047387727,0.018093402047387727
dim_696,0.018066809629792784,0.018066809629792784
dim_163,-0.018066042080910037,0.018066042080910037
dim_224,-0.018051808208209091,0.018051808208209091
dim_618,0.017999452122994999,0.017999452122994999
dim_439,0.017776046266017757,0.017776046266017757
dim_158,-0.017687827522967041,0.017687827522967041
dim_059,0.017647983832656925,0.017647983832656925
dim_680,-0.01760797798719416,0.01760797798719416
dim_360,0.017558659173349957,0.017558659173349957
dim_209,0.017554574841825894,0.017554574841825894
dim_498,-0.017548496035961456,0.017548496035961456
dim_012,0.017402229003464966,0.017402229003464966
dim_039,0.017102273649473018,0.017102273649473018
dim_434,-0.017095984723572169,0.017095984723572169
dim_763,0.017081478498158536,0.017081478498158536
dim_556,-0.017047412647669812,0.017047412647669812
dim_317,-0.016982323116989141,0.016982323116989141
dim_516,0.016910112579829415,0.016910112579829415
dim_347,-0.016893332056070246,0.016893332056070246
dim_250,-0.016828401541162205,0.016828401541162205
dim_185,0.016825443857097933,0.016825443857097933
dim_208,-0.016817566176367576,0.016817566176367576
dim_588,-0.016730404660314255,0.016730404660314255
dim_029,-0.016704176080545929,0.016704176080545929
dim_086,0.016678370533908742,0.016678370533908742
dim_315,0.016448307748523797,0.016448307748523797
dim_676,0.016401277979325123,0.016401277979325123
dim_228,0.016365397079953676,0.016365397079953676
dim_761,0.016362069539827287,0.016362069539827287
dim_718,-0.016347592776456001,0.016347592776456001
dim_453,-0.016302170185574942,0.016302170185574942
dim_454,-0.016249396273022944,0.016249396273022944
