date,open,close,high,low,volume,pct_chg,amplitude,ma5,ma20,ma60
2024-08-15,5.983,6.033,6.063,5.933,40487.0,0.6674453529117219,2.169197396963122,5.987,6.037,6.350333333333333
2024-08-16,6.073,5.953,6.073,5.953,29607.0,-1.3260401127134114,1.989060169070116,5.987,6.023000000000001,6.343333333333333
2024-08-19,5.943,5.933,6.003,5.923,19467.0,-0.33596505963380263,1.3438602385351934,5.985,6.012,6.333500000000001
2024-08-20,5.973,5.763,5.973,5.753,49115.0,-2.865329512893977,3.7080734872745618,5.935,6.0,6.3196666666666665
2024-08-21,5.763,5.643,5.773,5.633,42196.0,-2.082248828735034,2.4292903001908672,5.865,5.983,6.301333333333333
2024-08-22,5.653,5.593,5.693,5.583,26187.0,-0.8860535176324569,1.949317738791413,5.776999999999999,5.961,6.283166666666667
2024-08-23,5.573,5.583,5.613,5.483,24090.0,-0.17879492222420135,2.324333988914729,5.703,5.9350000000000005,6.267166666666667
2024-08-26,5.733,5.803,5.853,5.673,63732.0,3.9405337632097304,3.224073078989785,5.677,5.924,6.255666666666667
2024-08-27,5.733,5.633,5.823,5.623,47761.0,-2.9295192141995496,3.4464931931759466,5.651000000000001,5.9055,6.2459999999999996
2024-08-28,5.583,5.743,5.783,5.583,40134.0,1.9527782709036101,3.5505059470974647,5.671,5.8835,6.237833333333333
2024-08-29,5.733,5.783,5.803,5.703,32458.0,0.6965000870625015,1.741250217656271,5.7090000000000005,5.866,6.232833333333334
2024-08-30,5.793,5.833,5.883,5.753,38402.0,0.8646031471554627,2.2479681826041826,5.759,5.855,6.233166666666666
2024-09-02,5.813,5.733,5.853,5.733,33198.0,-1.7143836790673883,2.057260414880852,5.745,5.8485,6.2283333333333335
2024-09-03,5.763,5.723,5.783,5.663,31114.0,-0.1744287458573135,2.0931449502878094,5.763,5.8345,6.222833333333333
2024-09-04,5.753,5.723,5.773,5.673,24332.0,0.0,1.7473353136466827,5.759,5.8195,6.217333333333333
2024-09-05,5.723,5.753,5.773,5.703,21249.0,0.5242005940940153,1.2231347195526716,5.753,5.8065,6.213333333333334
