code,name,type,category
09888,百度集团-SW,hk,互联网
02015,理想汽车-W,hk,汽车
09868,小鹏汽车-W,hk,汽车
09866,蔚来-SW,hk,汽车
01211,比亚迪股份,hk,汽车
MU,美光科技,us,存储
WDC,西部数据,us,存储
STX,希捷科技,us,存储
SNDK,闪迪,us,存储
NVDA,英伟达,us,科技
AAPL,苹果,us,科技
MSFT,微软,us,科技
GOOGL,谷歌-A,us,科技
AMZN,亚马逊,us,科技
META,Meta平台,us,科技
TSLA,特斯拉,us,汽车
AVGO,博通,us,科技
AMD,超威半导体,us,科技
INTC,英特尔,us,科技
QCOM,高通,us,科技
TXN,德州仪器,us,科技
AMAT,应用材料,us,科技
ASML,阿斯麦,us,科技
ORCL,甲骨文,us,科技
CRM,Salesforce,us,科技
NFLX,奈飞,us,科技
ADBE,Adobe,us,科技
V,Visa,us,金融
MA,万事达,us,金融
JPM,摩根大通,us,金融
GS,高盛,us,金融
BAC,美国银行,us,金融
JNJ,强生,us,医药
LLY,礼来,us,医药
PFE,辉瑞,us,医药
MRK,默沙东,us,医药
UNH,联合健康,us,医药
HD,家得宝,us,消费
KO,可口可乐,us,消费
PEP,百事,us,消费
MCD,麦当劳,us,消费
SBUX,星巴克,us,消费
NKE,耐克,us,消费
DIS,迪士尼,us,消费
WMT,沃尔玛,us,消费
COST,开市客,us,消费
XOM,埃克森美孚,us,能源
CVX,雪佛龙,us,能源
IBM,IBM,us,科技
005930,三星电子,kr,存储
000660,SK海力士,kr,存储
005380,现代汽车,kr,汽车
000270,起亚,kr,汽车
373220,LG新能源,kr,新能源
051910,LG化学,kr,材料
035420,NAVER,kr,互联网
035720,Kakao,kr,互联网
005490,POSCO控股,kr,材料
105560,KB金融,kr,银行
510300,沪深300ETF,etf,
159915,创业板ETF,etf,
510050,上证50ETF,etf,
159919,沪深300ETF易方达,etf,
510500,中证500ETF,etf,
026487,大成竞先成长混合C,etf,
513100,纳指ETF,etf,
513500,标普500ETF,etf,
513520,日经ETF,etf,
513030,德国ETF,etf,
159920,恒生ETF,etf,
513180,恒生科技ETF,etf,
513050,中概互联网ETF,etf,
512880,证券ETF,etf,
512760,芯片ETF,etf,
515030,新能源车ETF,etf,
512690,白酒ETF,etf,
512010,医药ETF,etf,
512660,军工ETF,etf,
518880,黄金ETF,etf,
513090,香港证券ETF,etf,
