network,variant,horizon,metric,block_trading_days,is_sensitivity,point_mean,ci_low,ci_high,bootstrap_std,n_observations,block_length_signal_dates,reps,seed
W-corr,alpha_0.20,20,pearson_ic,5,True,0.008845392485491725,-0.024910316176034668,0.043603938587693694,0.017270759747283353,324,5,2000,42
W-corr,alpha_0.20,20,spearman_ic,5,True,0.003823245604823575,-0.03406699398017285,0.042248859509138356,0.01963940124674038,324,5,2000,42
W-corr,alpha_0.20,20,pearson_ic,20,True,0.008845392485491725,-0.03789284082417544,0.050931089940207515,0.022518239108776855,324,20,2000,42
W-corr,alpha_0.20,20,spearman_ic,20,True,0.003823245604823575,-0.04913416135268894,0.05481081718209919,0.02690219035479876,324,20,2000,42
W-corr,alpha_0.60,5,pearson_ic,10,False,0.03552487873355332,0.0016593604750762606,0.07175314300305147,0.017837696916255728,339,10,2000,42
W-corr,alpha_0.60,5,spearman_ic,10,False,0.016068708014302772,-0.02186050451751427,0.058242152591563505,0.02052736370799204,339,10,2000,42
W-corr,alpha_0.60,5,pearson_ic,40,False,0.03552487873355332,0.0073478604284836855,0.06393988482534083,0.014168381372314002,339,40,2000,42
W-corr,alpha_0.60,5,spearman_ic,40,False,0.016068708014302772,-0.015293098692257456,0.046755756041363124,0.015820852415940247,339,40,2000,42
W-corr,alpha_0.60,5,pearson_ic,5,True,0.03552487873355332,-0.0002065104625315708,0.07180595908652966,0.01808620233385983,339,5,2000,42
W-corr,alpha_0.60,5,spearman_ic,5,True,0.016068708014302772,-0.021677547045090364,0.055010781882503926,0.01958070963706639,339,5,2000,42
W-corr,alpha_0.60,5,pearson_ic,20,True,0.03552487873355332,0.004444622086452013,0.0661675467910309,0.016037846960704892,339,20,2000,42
W-corr,alpha_0.60,5,spearman_ic,20,True,0.016068708014302772,-0.02245521284454429,0.05331113360472302,0.01936232922395217,339,20,2000,42
W-corr,alpha_0.60,20,pearson_ic,10,False,0.015245689642844762,-0.035076413674480444,0.06373960543983814,0.02454690484292229,324,10,2000,42
W-corr,alpha_0.60,20,spearman_ic,10,False,0.011483010578666693,-0.04421311238649842,0.06783979190646341,0.028131922933418645,324,10,2000,42
W-corr,alpha_0.60,20,pearson_ic,40,False,0.015245689642844762,-0.03416849421836676,0.06597698932258625,0.025953720963126592,324,40,2000,42
W-corr,alpha_0.60,20,spearman_ic,40,False,0.011483010578666693,-0.05191349139697968,0.0739748042561999,0.03227995070799832,324,40,2000,42
W-corr,alpha_0.60,20,pearson_ic,5,True,0.015245689642844762,-0.025282238240912306,0.058006463496334704,0.020753860826716587,324,5,2000,42
W-corr,alpha_0.60,20,spearman_ic,5,True,0.011483010578666693,-0.03358633130293054,0.05707085858951721,0.02321374327774778,324,5,2000,42
W-corr,alpha_0.60,20,pearson_ic,20,True,0.015245689642844762,-0.04069031517827342,0.06643462099590011,0.027329159852593748,324,20,2000,42
W-corr,alpha_0.60,20,spearman_ic,20,True,0.011483010578666693,-0.05205923095798591,0.07244548252581703,0.03210021197313048,324,20,2000,42
