date,PC05,PC05_z,pca_version
2025-09-26,1.6676274184366573,1.728878514879318,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-29,-0.49534277900244006,-0.51353646423058141,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-09-30,0.56834162096357843,0.5892165160709355,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-09,1.3201459813252669,1.3686342634958422,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-10,0.98458759731127021,1.020750992811025,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-13,0.82967012926029016,0.8601434859232292,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-14,1.295099118774675,1.3426674425800236,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-15,-0.57726899855550051,-0.59847179164523567,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-16,-0.48943658006615959,-0.50741333364838526,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-17,1.2492211029639189,1.2951043508704452,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-20,1.024168859340854,1.0617860542151532,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-21,0.087905863013789332,0.091134600100866089,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-22,0.80405181913926371,0.8335842284619438,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-23,-0.88458083902615003,-0.91707103778608301,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-24,0.56105207343254015,0.58165922721236163,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-27,0.42459631893624389,0.4401915231124518,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-28,0.95601005048121335,0.99112380740005335,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-29,1.0174638460948655,1.0548347692849509,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-30,0.47870437000037741,0.49628693503274141,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-10-31,-0.30659922157335756,-0.31786045311837502,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-11-03,0.53098683217467657,0.55048970512324169,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-11-04,0.62021494227490115,0.64299511776522267,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-11-05,0.47861225251587131,0.49619143412045935,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
2025-11-06,-0.18806430068059862,-0.19497180561309016,pc5-full-svd-df45aeff6ed1eb48d3e2452b161bb2a7d0b70644cc368c0829826a90cfd1addf
